id,"code","name","definition","source_id/id","system"
hc_allergy.code_102002,"102002","Hemoglobin Okaloosa","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_120006,"120006","Ornithine racemase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_125001,"125001","Ferrous sulfate Fe^59^","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_126000,"126000","Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_130002,"130002","Hemoglobin Hopkins-II","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_131003,"131003","Dolichyl-phosphate mannosyltransferase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_159002,"159002","Ferrocyanide salt","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_164003,"164003","Phosphoenolpyruvate-protein phosphotransferase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_178002,"178002","Uridine diphosphate galactose","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_186002,"186002","HLA-Cw9 antigen","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_187006,"187006","Cyanocobalamin Co^57^","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_200001,"200001","Berberine","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_217008,"217008","Blood group antigen IH","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_231008,"231008","3-Hydroxyisobutyrate dehydrogenase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_238002,"238002","Heptachlor","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_261000,"261000","Codeine phosphate","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_296000,"296000","Coumachlor","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_322006,"322006","Octylphenoxy P.H. ethanol","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_327000,"327000","^76^Arsenic","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_329002,"329002","^127^Antimony","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_336001,"336001","Fibrinogen Tokyo II","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_340005,"340005","Enzyme variant","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_363000,"363000","Fibrinogen San Juan","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_370000,"370000","beta>2S< Glycoprotein","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_371001,"371001","Acylcarnitine hydrolase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_377002,"377002","Sparteine","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_392001,"392001","^151^Gadolinium","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_395004,"395004","Immunoglobulin pentamer","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_412004,"412004","Ribose-5-phosphate isomerase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_424006,"424006","Citramalyl-CoA lyase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_425007,"425007","Hemoglobin Nagoya","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_432003,"432003","Carminic acid stain (substance)","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_438004,"438004","2-Hydroxyglutarate dehydrogenase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_462009,"462009","Urease (ATP-hydrolysing)","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_472007,"472007","Vegetable textile fiber","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_476005,"476005","Lymphocyte antigen CD1b","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_498001,"498001","Nitrilase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_501001,"501001","Blood group antibody Sf^a^","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_505005,"505005","Blood group antibody M'","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_506006,"506006","3-Oxosteroid delta^1^-dehydrogenase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_515004,"515004","Blood group antigen Giaigue","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_519005,"519005","Free protein S","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_521000,"521000","^197^Mercury","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_529003,"529003","Guanosine","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_538001,"538001","2,3-Dihydroxybenzoate 3,4-dioxygenase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_566009,"566009","Acrosin","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_576007,"576007","Blood group antibody Duck","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_578008,"578008","Hemoglobin Jianghua","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_584006,"584006","Blood group antibody Wr^b^","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_585007,"585007","Substance P","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_591009,"591009","2-Oxoisovalerate dehydrogenase (acylating)","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_593007,"593007","Blood group antibody Holmes","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_594001,"594001","2-Oxoglutarate synthase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_597008,"597008","^247^Californium","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_604000,"604000","Plant sapogenin glycoside","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_611001,"611001","Hippurate hydrolase","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_620005,"620005","Trichlorophenol","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
hc_allergy.code_648005,"648005","Oil of calamus","","base.snomed","http://hl7.org/fhir/ValueSet/allergyintolerance-code"
