id,"code","name","definition","source_id/id","system"
hc_base.bdy_106004,"106004","Structure of posterior carpal region","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_107008,"107008","Structure of fetal part of placenta (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_108003,"108003","Entire condylar emissary vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_110001,"110001","Structure of visceral layer of Bowman's capsule","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_111002,"111002","Parathyroid structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_116007,"116007","Subcutaneous tissue structure of medial surface of index finger","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_124002,"124002","Structure of coronoid process of mandible","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_149003,"149003","Central pair of microtubules, cilium or flagellum, not bacterial","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_155008,"155008","Structure of deep circumflex iliac artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_167005,"167005","Structure of supraclavicular part of brachial plexus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_202009,"202009","Structure of anterior division of renal artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_205006,"205006","Entire left commissure of aortic valve","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_206007,"206007","Structure of gluteus maximus muscle","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_221001,"221001","Structure of articular surface, phalanges, of fourth metacarpal bone","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_227002,"227002","Canal of Hering","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_233006,"233006","Structure of hepatocolic ligament","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_235004,"235004","Structure of superior labial artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_246001,"246001","Structure of lateral vestibular nucleus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_247005,"247005","Structure of mesotympanum (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_251007,"251007","Pectoral region structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_256002,"256002","Kupffer cell","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_263002,"263002","Structure of thoracic spinal nerve (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_266005,"266005","Structure of right lower lobe of lung","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_272005,"272005","Structure of superior articular process of lumbar vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_273000,"273000","Structure of lateral myocardium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_283001,"283001","Structure of central axillary lymph node","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_284007,"284007","Entire flexor tendon and tendon sheath of fourth toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_289002,"289002","Metacarpophalangeal joint structure of index finger","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_301000,"301000","Fifth metatarsal structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_311007,"311007","Structure of plantar surface of great toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_315003,"315003","Skin structure of umbilicus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_318001,"318001","Structure of cardiac impression of liver","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_344001,"344001","Ankle region structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_345000,"345000","Atrioventricular bundle structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_356000,"356000","Reticular corium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_393006,"393006","Structure of wall of urinary bladder","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_402006,"402006","Structure of dental branch of inferior alveolar artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_405008,"405008","Entire posterior temporal diploic vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_414003,"414003","Gastric fundus structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_420002,"420002","Anastomosis, heterocladic","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_422005,"422005","Structure of inferior surface of tongue","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_446003,"446003","Structure of trochanteric bursa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_457008,"457008","Structure of collateral ligament","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_461002,"461002","Structure of lateral corticospinal tract","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_464005,"464005","Basophilic normoblast","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_465006,"465006","Structure of ascending frontal gyrus (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_471000,"471000","Flexor hallucis longus muscle structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_480000,"480000","Cardiopulmonary circulatory system structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_485005,"485005","Transverse colon structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_528006,"528006","Structure of costal surface of lung","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_552004,"552004","Entire vagus nerve parasympathetic fibers to cardiac plexus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_565008,"565008","Structure of intervertebral disc space of fifth lumbar vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_582005,"582005","Structure of head of phalanx of great toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_587004,"587004","Structure of capsule of proximal interphalangeal joint of third toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_589001,"589001","Interventricular septum structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_595000,"595000","Structure of palpebral fissure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_608002,"608002","Subcutaneous tissue structure of philtrum","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_621009,"621009","Multivesicular body, internal vesicles","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_635006,"635006","Structure of tuberosity of distal phalanx of little toe","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_650002,"650002","Structure of superior articular process of seventh thoracic vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_660006,"660006","Tracheal mucous membrane","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_661005,"661005","Jaw region structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_667009,"667009","Embryonic structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_688000,"688000","Fetal hyaloid artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_691000,"691000","Small intestine submucosa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_692007,"692007","Structure of body of ischium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_723004,"723004","Dense intermediate filament bundles","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_774007,"774007","Head and neck structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_790007,"790007","Structure of visceral aspect of liver","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_798000,"798000","Entire deep temporal vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_808000,"808000","Structure of posterior intercostal artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_809008,"809008","Structure of fetal chondrocranium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_823005,"823005","Structure of posterior cervical spinal cord nerve root","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_830004,"830004","Structure of spinous process of fifth thoracic vertebra (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_836005,"836005","Structure of oral region of face","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_885000,"885000","Lamina muscularis of colonic mucous membrane","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_895007,"895007","Structure of anterior cruciate ligament of knee joint","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_917004,"917004","Superior laryngeal aperture structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_921006,"921006","Structure of thyrohyoid branch of ansa cervicalis","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_947002,"947002","Structure of crus of diaphragm","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_955009,"955009","Bronchial structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_976004,"976004","Structure of ovarian vein","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_996007,"996007","Structure of meningeal branch of occipital artery","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1005009,"1005009","Entire diaphragmatic lymph node","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1012000,"1012000","Structure of fibrous portion of pericardium","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1015003,"1015003","Structure of peritonsillar tissue","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1028005,"1028005","Sebaceous gland structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1030007,"1030007","Structure of vesicular bursa of sternohyoid muscle","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1063000,"1063000","Structure of frontozygomatic suture of skull","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1075005,"1075005","Promonocyte","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1076006,"1076006","Entire subcutaneous prepatellar bursa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1086007,"1086007","Female structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1087003,"1087003","Structure of sternothyroid muscle","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1092001,"1092001","Structure of superior occipital gyrus","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1099005,"1099005","Structure of thymic cortex","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1101003,"1101003","Cranial cavity structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1106008,"1106008","Entire major calyx","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1110006,"1110006","Structure of meibomian gland","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1122009,"1122009","Structure of inferior longitudinal muscle of tongue","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1136004,"1136004","Structure of aortopulmonary septum (body structure)","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1159005,"1159005","Structure of frenulum linguae","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1172006,"1172006","Structure of odontoid process of axis","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1173001,"1173001","Structure of mandibular nerve","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1174007,"1174007","Chromosomes, group E","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1193009,"1193009","Structure of teres major muscle","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1216008,"1216008","Synostosis","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1231004,"1231004","Meninges structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1236009,"1236009","Duodenal serosa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1243003,"1243003","Structure of inferior articular process of sixth cervical vertebra","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1246006,"1246006","Structure of dorsal digital nerves of radial nerve","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1263005,"1263005","Distinctive arrangement of microtubules","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1277008,"1277008","Structure of vertebral nerve","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1307006,"1307006","Glottis structure","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1311000,"1311000","Telogen hair","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1350001,"1350001","Structure of deep flexor tendon of index finger","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1353004,"1353004","Gastric serosa","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1403006,"1403006","Structure of vastus lateralis muscle","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
hc_base.bdy_1425000,"1425000","Structure of posterior limb of stapes","","base.snomed","http://hl7.org/fhir/ValueSet/body-site"
