id,"code","name","definition","contains_id/id","level","comments","is_active","source_id/id","system"
hc_base.prac_code_394658006,"394658006","Clinical Specialty","Clinical specialty (qualifier value)","","1","","","base.snomed","http://snomed.info"
hc_base.prac_code_394581000,"394581000","Community medicine","Community medicine (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394585009,"394585009","Obstetrics and gynecology","Obstetrics and gynecology (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394587001,"394587001","Psychiatry","Psychiatry (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394592004,"394592004","Clinical oncology","Clinical oncology (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394595002,"394595002","Pathology ","Pathology (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://snomed.info"
hc_base.prac_code_394732004,"394732004","Surgical specialty","Surgical specialty (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394733009,"394733009","Medical specialty ","Medical specialty (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394734003,"394734003","Radiological specialties ","Radiological specialties (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://snomed.info"
hc_base.prac_code_394814009,"394814009","General practice (specialty) ","General practice (specialty) (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394821009,"394821009","Occupational medicine ","Occupational medicine (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_408446006,"408446006","Gynecological oncology ","Gynecological oncology (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_418960008,"418960008","Otolaryngology ","Otolaryngology (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_721961006,"721961006","Psychosomatic medicine","Psychosomatic medicine (qualifier value)","hc_base.prac_code_394658006","2","A system of medicine which aims at discovering the exact nature of the relationship between the emotions and bodily function, affirming the principle that the mind and body are one.","","base.snomed","http://snomed.info"
hc_base.prac_code_722162001,"722162001","Psychology","Psychology (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://snomed.info"
hc_base.prac_code_722163006,"722163006","Dentistry","Dentistry (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://snomed.info"
hc_base.prac_code_722164000,"722164000","Dietetics and nutrition","Dietetics and nutrition (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://snomed.info"
hc_base.prac_code_722165004,"722165004","Nursing","Nursing (qualifier value)","hc_base.prac_code_394658006","2","","","base.snomed","http://snomed.info"
hc_base.prac_code_394586005,"394586005","Gynecology","Gynecology (qualified value)","hc_base.prac_code_394585009","3","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_408470005,"408470005","Obstetrics","Obstetrics (qualified value)","hc_base.prac_code_394585009","3","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
hc_base.prac_code_394588006,"394588006","Pediatric (Child and adolescent) psychiatry","Child and adolescent psychiatry (qualified value)","hc_base.prac_code_394587001","3","","","base.snomed","http://hl7.org/fhir/ValueSet/c80-practice-codes"
