id,"code","name","definition","contains_id/id","level","comments","is_active","source_id/id","system"
hc_base.part_role_270002,"270002","Female first cousin","Female first cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_375005,"375005","Sibling","Sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_444000,"444000","Legal sibling","Legal sibling","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_609005,"609005","Adoptive father","Adoptive father (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_1354005,"1354005","Orphan female","Orphan female (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_2272004,"2272004","Half-sister","Half-sister (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_2316007,"2316007","Adoptive son","Adoptive son (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_2368000,"2368000","Great great grandmother","Great great grandmother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_2481008,"2481008","Working mother","Working mother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_2959006,"2959006","Female cousin","Female cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_3425009,"3425009","Oldest daughter","Oldest daughter (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_3851003,"3851003","Surrogate daughter","Surrogate daughter (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_4577005,"4577005","First cousin","First cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_6676009,"6676009","Youngest daughter","Youngest daughter (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_8458002,"8458002","Foster father","Foster father (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_8674003,"8674003","Stepson","Stepson (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_9306000,"9306000","Legal parent","Legal parent (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_9947008,"9947008","Natural father","Natural father (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_10896006,"10896006","Identical twin sibling","Identical twin sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_10960006,"10960006","Working father","Working father (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_11286003,"11286003","Twin sibling","Twin sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_11393001,"11393001","Great great grandchild","Great great grandchild (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_11434005,"11434005","Male second cousin","Male second cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_11773006,"11773006","Legal brother","Legal brother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_11993008,"11993008","Male first cousin","Male first cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_12241003,"12241003","Foster son","Foster son (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_12629003,"12629003","Single mother","Single mother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_13038009,"13038009","Older brother","Older brother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_13157002,"13157002","Older sibling","Older sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_13443008,"13443008","Second cousin","Second cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_13646006,"13646006","Natural parent","Natural parent (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_14469008,"14469008","Legal child","Legal child (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_15130002,"15130002","Surrogate parent","Surrogate parent (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_17219007,"17219007","Male fiance","Male fiance (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_17925003,"17925003","Adoptive brother","Adoptive brother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_17945006,"17945006","Natural grandmother","Natural grandmother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_18205005,"18205005","Wesleyan Methodist, follower of religion","Wesleyan Methodist, follower of religion (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_18906004,"18906004","Foster sibling","Foster sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_19343003,"19343003","Twin sister","Twin sister (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_19686009,"19686009","Younger sister","Younger sister (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_21093007,"21093007","Half-sibling","Half-sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_21464003,"21464003","Adoptive mother","Adoptive mother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_21506002,"21506002","Female second cousin","Female second cousin (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_22387007,"22387007","Surrogate child","Surrogate child (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_22573006,"22573006","Stepdaughter","Stepdaughter (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_22609000,"22609000","Adoptive grandparent","Adoptive grandparent (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_22963000,"22963000","Legal sister","Legal sister (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_25211005,"25211005","Aunt","Aunt (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_27508009,"27508009","Surrogate mother","Surrogate mother","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_27733009,"27733009","Sister","Sister (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_28010004,"28010004","Shiite muslim, follower of religion","Shiite muslim, follower of religion (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_29539002,"29539002","Younger sibling","Younger sibling (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_29644004,"29644004","Fraternal twin sister","Fraternal twin sister (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_29787005,"29787005","Foster brother","Foster brother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_30578000,"30578000","Stepfather","Stepfather (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_31656007,"31656007","Adoptive grandmother","Adoptive grandmother (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_31831004,"31831004","Foster daughter","Foster daughter (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_33969000,"33969000","Great grandparent","Great grandparent (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_34581001,"34581001","Niece","Niece (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_34871008,"34871008","Grandfather","Grandfather (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_34972000,"34972000","Only daughter","Only daughter (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_38048003,"38048003","Uncle","Uncle","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
hc_base.part_role_38248007,"38248007","Oldest son","Oldest son (person)","","","","","base.snomed","http://hl7.org/fhir/ValueSet/participant-role"
