id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hc_claim_response_hc_res_claim_response_user,hc.claim.response.hc.res.claim.response.user,model_hc_res_claim_response,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_user,hc.claim.response.hc.claim.response.item.user,model_hc_claim_response_item,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_adjudication_user,hc.claim.response.hc.claim.response.item.adjudication.user,model_hc_claim_response_item_adjudication,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_detail_user,hc.claim.response.hc.claim.response.item.detail.user,model_hc_claim_response_item_detail,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_detail_sub_detail_user,hc.claim.response.hc.claim.response.item.detail.sub.detail.user,model_hc_claim_response_item_detail_sub_detail,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_added_item_user,hc.claim.response.hc.claim.response.added.item.user,model_hc_claim_response_added_item,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_added_items_detail_user,hc.claim.response.hc.claim.response.added.items.detail.user,model_hc_claim_response_added_items_detail,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_error_user,hc.claim.response.hc.claim.response.error.user,model_hc_claim_response_error,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_payment_user,hc.claim.response.hc.claim.response.payment.user,model_hc_claim_response_payment,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_note_user,hc.claim.response.hc.claim.response.note.user,model_hc_claim_response_note,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_coverage_user,hc.claim.response.hc.claim.response.coverage.user,model_hc_claim_response_coverage,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_identifier_user,hc.claim.response.hc.claim.response.identifier.user,model_hc_claim_response_identifier,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_note_number_user,hc.claim.response.hc.claim.response.item.note.number.user,model_hc_claim_response_item_note_number,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_detail_note_number_user,hc.claim.response.hc.claim.response.item.detail.note.number.user,model_hc_claim_response_item_detail_note_number,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_item_detail_sub_detail_note_number_user,hc.claim.response.hc.claim.response.item.detail.sub.detail.note.number.user,model_hc_claim_response_item_detail_sub_detail_note_number,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_added_item_sequence_link_id_user,hc.claim.response.hc.claim.response.added.item.sequence.link.id.user,model_hc_claim_response_added_item_sequence_link_id,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_added_item_note_number_user,hc.claim.response.hc.claim.response.added.item.note.number.user,model_hc_claim_response_added_item_note_number,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_added_items_detail_note_number_user,hc.claim.response.hc.claim.response.added.items.detail.note.number.user,model_hc_claim_response_added_items_detail_note_number,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_coverage_pre_auth_ref_user,hc.claim.response.hc.claim.response.coverage.pre.auth.ref.user,model_hc_claim_response_coverage_pre_auth_ref,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_claim_response_payment_identifier_user,hc.claim.response.hc.claim.response.payment.identifier.user,model_hc_claim_response_payment_identifier,hc_base.group_hc_base_user,1,0,0,0
access_hc_claim_response_hc_vs_payment_adjustment_reason_manager,hc.claim.response.hc.vs.payment.adjustment.reason.manager,model_hc_vs_payment_adjustment_reason,hc_base.group_hc_base_manager,1,1,1,1
access_hc_claim_response_hc_vs_adjudication_reason_manager,hc.claim.response.hc.vs.adjudication.reason.manager,model_hc_vs_adjudication_reason,hc_base.group_hc_base_manager,1,1,1,1
access_hc_claim_response_hc_vs_adjudication_error_manager,hc.claim.response.hc.vs.adjudication.error.manager,model_hc_vs_adjudication_error,hc_base.group_hc_base_manager,1,1,1,1
access_hc_claim_response_hc_vs_ex_payment_type_manager,hc.claim.response.hc.vs.ex.payment.type.manager,model_hc_vs_ex_payment_type,hc_base.group_hc_base_manager,1,1,1,1

