id,"code","name","definition","source_id/id","system"
hc_cond.stg_786005,"786005","Clinical stage I B (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_1523005,"1523005","Clinical stage IV B","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_2640006,"2640006","Clinical stage IV (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_2786004,"2786004","Epithelial ovarian tumor, FIGO stage III","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_5701003,"5701003","Lymphoma stage IIe","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_5856006,"5856006","N3 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_6123003,"6123003","pT4 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_6534007,"6534007","Epithelial ovarian tumor, FIGO stage IIA","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_13104003,"13104003","Clinical stage I","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_14410001,"14410001","T3 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_14926007,"14926007","pM1 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_14927003,"14927003","FIGO VC stage II","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_15076001,"15076001","pN2 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_15540006,"15540006","International Federation of Gynecology and Obstetrics cervical cancer stage I (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_15542003,"15542003","Clinical stage I C (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_17076002,"17076002","pMX category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_17691001,"17691001","Clinical stage I S","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_17816005,"17816005","Clinical stage II B","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_19408000,"19408000","pM0 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_21917009,"21917009","pN0 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_22079002,"22079002","N4 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_22364004,"22364004","FIGO VC stage III","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_23351008,"23351008","T1 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_25654007,"25654007","International Federation of Gynecology and Obstetrics cervical cancer stage Ib (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_27167007,"27167007","MX category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_30382004,"30382004","FIGO EC stage II","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_30440004,"30440004","Lymphoma stage I","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_30893008,"30893008","M0 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_31747005,"31747005","Modified Dukes stage B1","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_33177002,"33177002","Clinical stage IV C","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_33907000,"33907000","Clinical stage III E","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_34537009,"34537009","FIGO EC stage IV","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_35440002,"35440002","Clinical stage I D","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_36018006,"36018006","Epithelial ovarian tumour, FIGO stage IA","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_37415008,"37415008","Epithelial ovarian tumor, FIGO stage IC","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_39617003,"39617003","Clinical stage II C","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_39880006,"39880006","pT0 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_43189003,"43189003","pTX category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_44255004,"44255004","Lymphoma stage IIIe","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_44401000,"44401000","Tis category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_45552005,"45552005","pN1 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_46059003,"46059003","N2 category (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_46333007,"46333007","Clinical stage I A (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_46756001,"46756001","FIGO EC stage I A","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
hc_cond.stg_48105005,"48105005","Clinical stage III C (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-stage"
