id,"code","name","definition","contains_id/id","level","comments","is_active","source_id/id","system"
serv_type_1,"1","Adoption/Permanent Care Info/Support","Adoption & permanent care information/support","","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_2,"2","Aged Care Assessment","Aged care assessment","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_3,"3","Aged Care Information/Referral","Aged Care information/referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_4,"4","Aged Residential Care","Aged Residential Care","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_5,"5","Case Management for Older Persons","Case management for older persons","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_6,"6","Delivered Meals (Meals On Wheels)","Delivered meals (meals on wheels)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_7,"7","Friendly Visiting","Friendly visiting","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_8,"8","Home Care/Housekeeping Assistance","Home care/housekeeping assistance","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_9,"9","Home Maintenance and Repair","Home maintenance and repair","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_10,"10","Personal Alarms/Alerts","Personal alarms/alerts","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_11,"11","Personal Care for Older Persons","Personal care for older persons","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_12,"12","Planned Activity Groups","Planned activity groups","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_13,"13","Acupuncture","Acupuncture","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_14,"14","Alexander Technique Therapy","Alexander technique therapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_15,"15","Aromatherapy","Aromatherapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_16,"16","Biorhythm Services","Biorhythm services","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_17,"17","Bowen Therapy","Bowen therapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_18,"18","Chinese Herbal Medicine","Chinese herbal medicine","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_19,"19","Feldenkrais","Feldenkrais","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_20,"20","Homoeopathy","Homoeopathy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_21,"21","Hydrotherapy","Hydrotherapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_22,"22","Hypnotherapy","Hypnotherapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_23,"23","Kinesiology","Kinesiology","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_24,"24","Magnetic Therapy","Magnetic therapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_25,"25","Massage Therapy","Massage therapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_26,"26","Meditation","Meditation","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_27,"27","Myotherapy","Myotherapy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_28,"28","Naturopathy","Naturopathy","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_29,"29","Reflexology","Reflexology","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
serv_type_30,"30","Reiki","Reiki","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-type"
