id,"code","name","definition","source_id/id","system"
hc_med.code_261000,"261000","Codeine phosphate","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_336001,"336001","Fibrinogen Tokyo II","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_363000,"363000","Fibrinogen San Juan","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_519005,"519005","Free protein S","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_585007,"585007","Substance P","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_693002,"693002","Trichothecenes","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_698006,"698006","Erythromycin lactobionate","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_699003,"699003","Coal tar extract","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_747006,"747006","Oxamniquine","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_873008,"873008","Urethan","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_925002,"925002","Sodium iodipamide","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1018001,"1018001","Nornicotine","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1025008,"1025008","^93^Molybdenum","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1057009,"1057009","Phosphate salt","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1091008,"1091008","Coagulation factor inhibitor","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1171004,"1171004","Fibrinogen Kawaguchi","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1190007,"1190007","Mephenoxalone","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1244009,"1244009","Fibrinogen Madrid I","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1269009,"1269009","Amikacin sulfate","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1325004,"1325004","Metocurine iodide","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1336006,"1336006","11-Deoxycorticosterone","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1355006,"1355006","Coagulation factor IX Oxford 3 variant","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1368003,"1368003","^131^Iodine","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1381005,"1381005","^126^Iodine","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1450002,"1450002","Methylparafynol (substance)","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1476002,"1476002","Codeine sulfate","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1536005,"1536005","Pargyline hydrochloride","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1575001,"1575001","Maltose tetrapalmitate","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1603001,"1603001","Cobalt isotope","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1668008,"1668008","Ceforanide","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1914001,"1914001","von Willebrand factor antibody (substance)","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1944003,"1944003","Coagulation factor X Patient variant","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1956002,"1956002","Buclizine hydrochloride","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_1971003,"1971003","Loxapine hydrochloride","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_2029004,"2029004","Fibrinogen Oslo II","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_2125008,"2125008","Betazole","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_2195004,"2195004","Tocainide hydrochloride","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_2197007,"2197007","Boric acid topical preparation","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
hc_med.code_2201007,"2201007","Bacteriopurpurin","","base.snomed","http://hl7.org/fhir/ValueSet/medication-codes"
