id,"code","name","definition","source_id/id","system"
hc_med.form_7946007,"7946007","Drug suspension","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_11190007,"11190007","Drug stick","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_17519006,"17519006","Lotion","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_30843009,"30843009","Drug aerosol foam","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_36875001,"36875001","Drug patch","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_37937005,"37937005","Drug paste","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_46992007,"46992007","Pill","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_48582000,"48582000","Caplet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_52262001,"52262001","Drug aerosol","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_63316001,"63316001","Liniment","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_64241004,"64241004","Drug pledget","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_66076007,"66076007","Chewable tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_77899000,"77899000","Drug solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_85581007,"85581007","Drug powder","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385018001,"385018001","Oral drops","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385019009,"385019009","Oral drops solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385020003,"385020003","Oral drops suspension","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385021004,"385021004","Oral drops emulsion","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385022006,"385022006","Oral liquid","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385023001,"385023001","Oral solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385024007,"385024007","Oral suspension","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385025008,"385025008","Oral emulsion","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385026009,"385026009","Powder for oral solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385027000,"385027000","Powder for oral suspension","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385028005,"385028005","Granules for oral solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385029002,"385029002","Granules for oral suspension","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385032004,"385032004","Syrup","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385033009,"385033009","Powder for syrup","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385034003,"385034003","Granules for syrup","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385035002,"385035002","Soluble tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385036001,"385036001","Dispersible tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385038000,"385038000","Oral gel","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385039008,"385039008","Oral paste","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385041009,"385041009","Oral powder","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385042002,"385042002","Effervescent powder","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385043007,"385043007","Granules","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385044001,"385044001","Effervescent granules","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385045000,"385045000","Gastro-resistant granules","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385046004,"385046004","Prolonged-release granules","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385047008,"385047008","Modified-release granules","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385048003,"385048003","Cachet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385049006,"385049006","Capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385050006,"385050006","Hard capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385051005,"385051005","Soft capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385052003,"385052003","Gastro-resistant capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385053008,"385053008","Prolonged-release capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385054002,"385054002","Modified-release capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385055001,"385055001","Tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385057009,"385057009","Film-coated tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385058004,"385058004","Effervescent tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385059007,"385059007","Gastro-resistant tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385060002,"385060002","Prolonged-release tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385061003,"385061003","Modified-release tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385062005,"385062005","Oral lyophilisate","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385063000,"385063000","Oral gum","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385064006,"385064006","Pillule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385069001,"385069001","Oromucosal liquid","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385070000,"385070000","Oromucosal solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385071001,"385071001","Oromucosal suspension","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385073003,"385073003","Oromucosal spray","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385074009,"385074009","Sublingual spray","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385077002,"385077002","Gingival solution","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385078007,"385078007","Oromucosal gel","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385079004,"385079004","Oromucosal paste","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385080001,"385080001","Medicated chewing-gum","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385081002,"385081002","Gingival gel","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385082009,"385082009","Gingival paste","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385083004,"385083004","Oromucosal capsule","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385084005,"385084005","Sublingual tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385085006,"385085006","Buccal tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385086007,"385086007","Muco-adhesive buccal tablet","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
hc_med.form_385087003,"385087003","Lozenge","","base.snomed","http://hl7.org/fhir/ValueSet/medication-form-codes"
