id,"code","name","definition","source_id/id","system"
hc_med.ingr_0001,"0001",".ALPHA.1-PROTEINASE INHIBITOR HUMAN","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0002,"0002",".ALPHA.-KETOGLUTARIC ACID","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0003,"0003",".ALPHA.-LIPOIC ACID","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0004,"0004",".ALPHA.-TOCOPHEROL","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0005,"0005",".ALPHA.-TOCOPHEROL ACETATE","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0006,"0006",".ALPHA.-TOCOPHEROL ACETATE, D-","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0007,"0007",".ALPHA.-TOCOPHEROL ACETATE, DL-","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0008,"0008",".ALPHA.-TOCOPHEROL SUCCINATE, D-","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0009,"0009",".ALPHA.-TOCOPHEROL, D-","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0010,"0010",".ALPHA.-TOCOPHEROL, DL-","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0011,"0011",".BETA.-CAROTENE","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0012,"0012",".BETA.-SITOSTEROL","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0013,"0013",".GAMMA.-AMINOBUTYRIC ACID","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0014,"0014","1,4-BENZOQUINONE","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
hc_med.ingr_0015,"0015","1-OCTACOSANOL","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html"
