id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hc_medication_administration_hc_res_medication_administration_user,hc.medication.administration.hc.res.medication.administration.user,model_hc_res_medication_administration,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_dosage_user,hc.medication.administration.hc.medication.administration.dosage.user,model_hc_medication_administration_dosage,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_identifier_user,hc.medication.administration.hc.medication.administration.identifier.user,model_hc_medication_administration_identifier,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_supporting_information_user,hc.medication.administration.hc.medication.administration.supporting.information.user,model_hc_medication_administration_supporting_information,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_reason_reference_user,hc.medication.administration.hc.medication.administration.reason.reference.user,model_hc_medication_administration_reason_reference,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_note_user,hc.medication.administration.hc.medication.administration.note.user,model_hc_medication_administration_note,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_device_user,hc.medication.administration.hc.medication.administration.device.user,model_hc_medication_administration_device,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_medication_administration_event_history_user,hc.medication.administration.hc.medication.administration.event.history.user,model_hc_medication_administration_event_history,hc_base.group_hc_base_user,1,0,0,0
access_hc_medication_administration_hc_vs_administration_method_code_manager,hc.medication.administration.hc.vs.administration.method.code.manager,model_hc_vs_administration_method_code,hc_base.group_hc_base_manager,1,1,1,1
access_hc_medication_administration_hc_vs_reason_medication_given_code_manager,hc.medication.administration.hc.vs.reason.medication.given.code.manager,model_hc_vs_reason_medication_given_code,hc_base.group_hc_base_manager,1,1,1,1
access_hc_medication_administration_hc_vs_reason_medication_not_given_code_manager,hc.medication.administration.hc.vs.reason.medication.not.given.code.manager,model_hc_vs_reason_medication_not_given_code,hc_base.group_hc_base_manager,1,1,1,1
