id,"code","name","definition","hierarchy_id/id","contains_id/id","source_id/id","system"
hc_patient.breed_448169003,"448169003","cat","Felis catus (organism) Includes domestic cat",,,"base.snomed","http://snomed.info"
hc_patient.breed_36074003,"36074003","Abyssinian cat","Abyssinian cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_413488005,"413488005","American bobtail cat breed","American bobtail cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132659002,"132659002","American Curl cat breed","American Curl cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_21726001,"21726001","American wirehaired cat","American wirehaired cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132660007,"132660007","Australian Mist cat breed","Australian Mist cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_3653002,"3653002","Balinese cat","Balinese cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132661006,"132661006","Bengal cat breed","Bengal cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_43219001,"43219001","Birman cat","Birman cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_16528000,"16528000","Bombay cat","Bombay cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132656009,"132656009","British Blue cat breed","British Blue cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_89065000,"89065000","Burmese cat","Burmese cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132663009,"132663009","California Spangled cat breed","California Spangled cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132664003,"132664003","Chantilly/Tiffany cat breed","Chantilly/Tiffany cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
