id,"code","name","definition","source_id/id","system","contains_id/id","level","level_name"
hc_patient.species_387961004,"387961004","animal","Kingdom Animalia (Organism)","base.snomed","http://snomed.info",,1,"Kingdom"
hc_patient.species_272608008,"272608008","invertebrate","Invertebrate (organism) Include insect; crab, lobster and kin; snail, clam, octopus and kin; starfish, sea-urchin and kin; and worm.","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_11950008,"11950008","spiny-headed worm","Phylum Acanthocephala (organism)","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421650007,"421650007","worm or leech","Phylum Annelida (organism) Bilaterally symmetrical, triploblastic, coelomate, invertebrate aka ringed worm or segmented worm like earthworm","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106762008,"106762008","arthropod","Phylum Arthopoda (organism) Includes insect, arachnid, myriapod, and crustacean","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421762001,"421762001","lampshell","Phylum Brachiopoda (organism) Hard valve (shell) animal","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_422043006,"422043006","arrow worm","Phylum Chaetognatha (organism) Predatory marine worm","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_387965008,"387965008","chordate","Phylum Chordata (organism)","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106900006,"106900006","jelly-like marine animal","Phylum Cnidaria (organism) Marine organism including sea anemone, coral, sea pen, jellyfish, box jelly, Hydra, Portuguese Man o' War","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421514009,"421514009","comb jelly","Phylum Ctenophora (organism) Includes comb jelly, sea walnut","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421248009,"421248009","symbion","Phylum Cycliophora (organism) Microscopic organism with sac-like bodies","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106903008,"106903008","five-point marine animal","Phylum Echinodermata (organism) Includes starfish, sea star, sea urchin, sand dollar, sea cucumbers, sea lily","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_420716000,"420716000","spoon worm","Phylum Echiura (organism) Includes belly worm, bonebelly","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
