id,"code","name","definition","comments","is_active","source_id/id","system"
cont_role_bp,"BP","Billing contact person","","added v2.3, removed after v2.3","False","base.hl7v2","http://hl7.org/fhir/ValueSet/v2-0131"
cont_role_c,"C","Emergency Contact","","added v2.5","","base.hl7v3","http://hl7.org/fhir/ValueSet/v2-0132"
cont_role_cp,"CP","Contact person","","added v2.3, removed after v2.3","False","base.hl7v4","http://hl7.org/fhir/ValueSet/v2-0133"
cont_role_e,"E","Employer","","added v2.5","","base.hl7v5","http://hl7.org/fhir/ValueSet/v2-0134"
cont_role_ep,"EP","Emergency contact person","","added v2.3, removed after v2.3","False","base.hl7v6","http://hl7.org/fhir/ValueSet/v2-0135"
cont_role_f,"F","Federal Agency","","added v2.5","","base.hl7v7","http://hl7.org/fhir/ValueSet/v2-0136"
cont_role_i,"I","Insurance Company","","added v2.5","","base.hl7v8","http://hl7.org/fhir/ValueSet/v2-0137"
cont_role_n,"N","Next-of-Kin","","added v2.5","","base.hl7v9","http://hl7.org/fhir/ValueSet/v2-0138"
cont_role_o,"O","Other","","added v2.5","","base.hl7v10","http://hl7.org/fhir/ValueSet/v2-0139"
cont_role_pr,"PR","Person preparing referral","","added v2.3, removed after v2.3","False","base.hl7v11","http://hl7.org/fhir/ValueSet/v2-0140"
cont_role_s,"S","State Agency","","added v2.5","","base.hl7v12","http://hl7.org/fhir/ValueSet/v2-0141"
cont_role_u,"U","Unknown","","added v2.5","","base.hl7v13","http://hl7.org/fhir/ValueSet/v2-0142"
