"id","code","name","definition"
hc_base.subs_code_125001,"125001","Ferrous sulfate Fe^59^","Ferrous sulfate Fe^59^ (substance)"
hc_base.subs_code_126000,"126000","Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase","Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase (substance)"
hc_base.subs_code_131003,"131003","Dolichyl-phosphate mannosyltransferase","Dolichyl-phosphate mannosyltransferase (substance)"
hc_base.subs_code_159002,"159002","Ferrocyanide salt","Ferrocyanide salt (substance)"
hc_base.subs_code_164003,"164003","Phosphoenolpyruvate-protein phosphotransferase","Phosphoenolpyruvate-protein phosphotransferase (substance)"
hc_base.subs_code_178002,"178002","Uridine diphosphate galactose","Uridine diphosphate galactose (substance)"
hc_base.subs_code_186002,"186002","HLA-Cw9 antigen","HLA-Cw9 antigen (substance)"
hc_base.subs_code_187006,"187006","Cyanocobalamin Co^57^","Cyanocobalamin Co^57^ (substance)"
hc_base.subs_code_200001,"200001","Berberine","Berberine (substance)"
hc_base.subs_code_217008,"217008","Blood group antigen IH","Blood group antigen IH (substance)"
hc_base.subs_code_238002,"238002","Heptachlor","Heptachlor (substance)"
hc_base.subs_code_261000,"261000","Codeine phosphate","Codeine phosphate (substance)"
hc_base.subs_code_296000,"296000","Coumachlor","Coumachlor (substance)"
hc_base.subs_code_322006,"322006","Octylphenoxy P.H. ethanol","Octylphenoxy P.H. ethanol (substance)"
hc_base.subs_code_327000,"327000","^76^Arsenic","^76^Arsenic (substance)"
hc_base.subs_code_329002,"329002","^127^Antimony","^127^Antimony (substance)"
hc_base.subs_code_377002,"377002","Sparteine","Sparteine (substance)"
hc_base.subs_code_392001,"392001","^151^Gadolinium","^151^Gadolinium (substance)"
hc_base.subs_code_395004,"395004","Immunoglobulin pentamer","Immunoglobulin pentamer (substance)"
hc_base.subs_code_412004,"412004","Ribose-5-phosphate isomerase","Ribose-5-phosphate isomerase (substance)"
hc_base.subs_code_432003,"432003","Carminic acid","Carminic acid (substance)"
hc_base.subs_code_472007,"472007","Vegetable textile fiber","Vegetable textile fiber (substance)"
hc_base.subs_code_476005,"476005","Lymphocyte antigen CD1b","Lymphocyte antigen CD1b (substance)"
hc_base.subs_code_501001,"501001","Blood group antibody Sf^a^","Blood group antibody Sf^a^ (substance)"
hc_base.subs_code_505005,"505005","Blood group antibody M'","Blood group antibody M' (substance)"
hc_base.subs_code_515004,"515004","Blood group antigen Giaigue","Blood group antigen Giaigue (substance)"
hc_base.subs_code_519005,"519005","Free protein S","Free protein S (substance)"
hc_base.subs_code_521000,"521000","^197^Mercury","^197^Mercury (substance)"
hc_base.subs_code_529003,"529003","Guanosine","Guanosine (substance)"
hc_base.subs_code_566009,"566009","Acrosin","Acrosin (substance)"
hc_base.subs_code_576007,"576007","Blood group antibody Duck","Blood group antibody Duck (substance)"
hc_base.subs_code_584006,"584006","Blood group antibody Wr^b^","Blood group antibody Wr^b^ (substance)"
hc_base.subs_code_585007,"585007","Substance P","Substance P (substance)"
hc_base.subs_code_593007,"593007","Blood group antibody Holmes","Blood group antibody Holmes (substance)"
hc_base.subs_code_597008,"597008","^247^Californium","^247^Californium (substance)"
hc_base.subs_code_604000,"604000","Plant sapogenin glycoside","Plant sapogenin glycoside (substance)"
hc_base.subs_code_620005,"620005","Trichlorophenol","Trichlorophenol (substance)"
hc_base.subs_code_648005,"648005","Oil of calamus","Oil of calamus (substance)"
hc_base.subs_code_662003,"662003","Aeromonas proteolytica aminopeptidase","Aeromonas proteolytica aminopeptidase (substance)"
hc_base.subs_code_668004,"668004","^185^Osmium","^185^Osmium (substance)"
hc_base.subs_code_683009,"683009","Mercuric acetate","Mercuric acetate (substance)"
hc_base.subs_code_693002,"693002","Trichothecenes","Trichothecenes (substance)"
hc_base.subs_code_698006,"698006","Erythromycin lactobionate","Erythromycin lactobionate (substance)"
hc_base.subs_code_699003,"699003","Coal tar extract","Coal tar extract (substance)"
hc_base.subs_code_704006,"704006","Blood group antigen Rx","Blood group antigen Rx (substance)"
hc_base.subs_code_732002,"732002","N-valeraldehyde","N-valeraldehyde (substance)"
hc_base.subs_code_735000,"735000","Blood group antigen Jobbins","Blood group antigen Jobbins (substance)"
hc_base.subs_code_747006,"747006","Oxamniquine","Oxamniquine (substance)"
hc_base.subs_code_804003,"804003","Creosotic acid","Creosotic acid (substance)"
hc_base.subs_code_859004,"859004","Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase","Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase (substance)"
hc_base.subs_code_860009,"860009","Immunoglobulin, aggregated","Immunoglobulin, aggregated (substance)"
hc_base.subs_code_873008,"873008","Urethan","Urethan (substance)"
hc_base.subs_code_876000,"876000","Blood group antigen D","Blood group antigen D (substance)"
hc_base.subs_code_877009,"877009","Carboxypeptidase A","Carboxypeptidase A (substance)"
hc_base.subs_code_889006,"889006","(Acetyl-CoA carboxylase) kinase","(Acetyl-CoA carboxylase) kinase (substance)"
hc_base.subs_code_896008,"896008","Ice","Ice (substance)"
hc_base.subs_code_905001,"905001","o-Dihydroxycoumarin O^7^-glucosyltransferase","o-Dihydroxycoumarin O^7^-glucosyltransferase (substance)"
hc_base.subs_code_923009,"923009","Complement component C2","Complement component C2 (substance)"
hc_base.subs_code_925002,"925002","Sodium iodipamide","Sodium iodipamide (substance)"
hc_base.subs_code_979006,"979006","Carbamate kinase","Carbamate kinase (substance)"
hc_base.subs_code_993004,"993004","Palladium compound","Palladium compound (substance)"
hc_base.subs_code_1002007,"1002007","Mannotetraose 2-alpha-N-acetylglucosaminyltransferase","Mannotetraose 2-alpha-N-acetylglucosaminyltransferase (substance)"
hc_base.subs_code_1018001,"1018001","Nornicotine","Nornicotine (substance)"
hc_base.subs_code_1025008,"1025008","^93^Molybdenum","^93^Molybdenum (substance)"
hc_base.subs_code_1047008,"1047008","Guanine deaminase","Guanine deaminase (substance)"
hc_base.subs_code_1057009,"1057009","Phosphate salt","Phosphate salt (substance)"
hc_base.subs_code_1065007,"1065007","E. coli periplasmic proteinase","E. coli periplasmic proteinase (substance)"
hc_base.subs_code_1080001,"1080001","^202^Thallium","^202^Thallium (substance)"
hc_base.subs_code_1091008,"1091008","Coagulation factor inhibitor","Coagulation factor inhibitor (substance)"
hc_base.subs_code_1097007,"1097007","Blood group antigen M^A^","Blood group antigen M^A^ (substance)"
hc_base.subs_code_1137008,"1137008","^240^Uranium","^240^Uranium (substance)"
hc_base.subs_code_1160000,"1160000","Blood group antibody Lutheran","Blood group antibody Lutheran (substance)"
hc_base.subs_code_1166006,"1166006","Titanium","Titanium (substance)"
hc_base.subs_code_1190007,"1190007","Mephenoxalone","Mephenoxalone (substance)"
hc_base.subs_code_1219001,"1219001","Diethyl xanthogen disulfide","Diethyl xanthogen disulfide (substance)"
hc_base.subs_code_1223009,"1223009","Blood group antigen Marks","Blood group antigen Marks (substance)"
hc_base.subs_code_1248007,"1248007","Leucostoma neutral proteinase","Leucostoma neutral proteinase (substance)"
hc_base.subs_code_1269009,"1269009","Amikacin sulfate","Amikacin sulfate (substance)"
hc_base.subs_code_1273007,"1273007","Blood group antibody Evelyn","Blood group antibody Evelyn (substance)"
hc_base.subs_code_1319003,"1319003","Blood group antibody K18","Blood group antibody K18 (substance)"
hc_base.subs_code_1325004,"1325004","Metocurine iodide","Metocurine iodide (substance)"
hc_base.subs_code_1331001,"1331001","Methamidophos","Methamidophos (substance)"
hc_base.subs_code_1334009,"1334009","Estradiol receptor","Estradiol receptor (substance)"
hc_base.subs_code_1336006,"1336006","21-Hydroxyprogesterone","21-Hydroxyprogesterone (substance)"
hc_base.subs_code_1346008,"1346008","Blue shade eosin","Blue shade eosin (substance)"
hc_base.subs_code_1355006,"1355006","Antihemophilic factor B Oxford 3 variant","Antihemophilic factor B Oxford 3 variant (substance)"
hc_base.subs_code_1368003,"1368003","^131^Iodine","^131^Iodine (substance)"
hc_base.subs_code_1371006,"1371006","Blood group antigen Big","Blood group antigen Big (substance)"
hc_base.subs_code_1373009,"1373009","^93^Zirconium","^93^Zirconium (substance)"
hc_base.subs_code_1381005,"1381005","^126^Iodine","^126^Iodine (substance)"
hc_base.subs_code_1394007,"1394007","Iron pentacarbonyl","Iron pentacarbonyl (substance)"
hc_base.subs_code_1396009,"1396009","Actinium","Actinium (substance)"
hc_base.subs_code_1405004,"1405004","Blood group antibody M^e^","Blood group antibody M^e^ (substance)"
hc_base.subs_code_1408002,"1408002","Blood group antibody 1123K","Blood group antibody 1123K (substance)"
hc_base.subs_code_1416006,"1416006","Radium compound","Radium compound (substance)"
hc_base.subs_code_1450002,"1450002","Methylparafynol","Methylparafynol (substance)"
hc_base.subs_code_1472000,"1472000","Adenosine-phosphate deaminase","Adenosine-phosphate deaminase (substance)"
hc_base.subs_code_1476002,"1476002","Codeine sulfate","Codeine sulfate (substance)"
hc_base.subs_code_1496005,"1496005","Proto-oncogene","Proto-oncogene (substance)"
hc_base.subs_code_1506001,"1506001","Blood group antigen Ch^a^","Blood group antigen Ch^a^ (substance)"
hc_base.subs_code_1517000,"1517000","HLA-B21 antigen","HLA-B21 antigen (substance)"
hc_base.subs_code_1535009,"1535009","Nitrogen fluoride","Nitrogen fluoride (substance)"
hc_base.subs_code_1536005,"1536005","Pargyline hydrochloride","Pargyline hydrochloride (substance)"
hc_base.subs_code_1540001,"1540001","Tellurium radioisotope","Tellurium radioisotope (substance)"
hc_base.subs_code_1545006,"1545006","Uridine phosphorylase","Uridine phosphorylase (substance)"
hc_base.subs_code_1557002,"1557002","Talc","Talc (substance)"
hc_base.subs_code_1565004,"1565004","Blood group antibody Buckalew","Blood group antibody Buckalew (substance)"
hc_base.subs_code_1575001,"1575001","Maltose tetrapalmitate","Maltose tetrapalmitate (substance)"
hc_base.subs_code_1603001,"1603001","Cobalt isotope","Cobalt isotope (substance)"
hc_base.subs_code_1607000,"1607000","Homoserine kinase","Homoserine kinase (substance)"
hc_base.subs_code_1609002,"1609002","N-octyl isosafrole sulfoxide","N-octyl isosafrole sulfoxide (substance)"
hc_base.subs_code_1634002,"1634002","Blood group antigen Ven","Blood group antigen Ven (substance)"
hc_base.subs_code_1649005,"1649005","Blood group antigen Sul","Blood group antigen Sul (substance)"
hc_base.subs_code_1660001,"1660001","Plant seeds","Plant seeds (substance)"
hc_base.subs_code_1668008,"1668008","Ceforanide","Ceforanide (substance)"
hc_base.subs_code_1673002,"1673002","Xylenol","Xylenol (substance)"
hc_base.subs_code_1675009,"1675009","^86^Rubidium","^86^Rubidium (substance)"
hc_base.subs_code_1676005,"1676005","Blood group antibody LW^ab^","Blood group antibody LW^ab^ (substance)"
hc_base.subs_code_1696002,"1696002","12-Hydroperoxy eicosatetraenoic acid","12-Hydroperoxy eicosatetraenoic acid (substance)"
hc_base.subs_code_1701009,"1701009","^191^Gold","^191^Gold (substance)"
hc_base.subs_code_1710001,"1710001","Uric acid","Uric acid (substance)"
hc_base.subs_code_1726000,"1726000","Diamond","Diamond (substance)"
hc_base.subs_code_1740004,"1740004","Deoxy cytidine triphosphate","Deoxy cytidine triphosphate (substance)"
hc_base.subs_code_1768000,"1768000","Sucrose phosphorylase","Sucrose phosphorylase (substance)"
hc_base.subs_code_1793003,"1793003","Sodium trichloroacetate","Sodium trichloroacetate (substance)"
hc_base.subs_code_1795005,"1795005","Glyodin","Glyodin (substance)"
hc_base.subs_code_1904005,"1904005","Galactoside 3-fucosyltransferase","Galactoside 3-fucosyltransferase (substance)"
hc_base.subs_code_1914001,"1914001","von Willebrand factor inhibitor","von Willebrand factor inhibitor (substance)"
hc_base.subs_code_1916004,"1916004","Boroglycerin","Boroglycerin (substance)"
hc_base.subs_code_1940007,"1940007","Immunoglobulin, GM>21< allotype","Immunoglobulin, GM>21< allotype (substance)"
hc_base.subs_code_1944003,"1944003","Coagulation factor X Patient variant","Coagulation factor X Patient variant (substance)"
hc_base.subs_code_1956002,"1956002","Buclizine hydrochloride","Buclizine hydrochloride (substance)"
hc_base.subs_code_1971003,"1971003","Loxapine hydrochloride","Loxapine hydrochloride (substance)"
hc_base.subs_code_1975007,"1975007","Blood group antibody Niemetz","Blood group antibody Niemetz (substance)"
hc_base.subs_code_1978009,"1978009","Site-specific methyltransferase (cytosine-specific)","Site-specific methyltransferase (cytosine-specific) (substance)"
hc_base.subs_code_1985008,"1985008","Vomitus","Vomitus (substance)"
hc_base.subs_code_1991005,"1991005","Lignins","Lignins (substance)"
hc_base.subs_code_2000001,"2000001","Heavy nitrogen","Heavy nitrogen (substance)"
hc_base.subs_code_2006007,"2006007","Inosine diphosphate","Inosine diphosphate (substance)"
hc_base.subs_code_2008008,"2008008","^67^Gallium","^67^Gallium (substance)"
hc_base.subs_code_2009000,"2009000","Cobalt carbonyl","Cobalt carbonyl (substance)"
hc_base.subs_code_2027002,"2027002","Alternaria serine proteinase","Alternaria serine proteinase (substance)"
hc_base.subs_code_2038002,"2038002","Blood group antibody Bg^b^","Blood group antibody Bg^b^ (substance)"
hc_base.subs_code_2039005,"2039005","sym-Norspermidine synthase","sym-Norspermidine synthase (substance)"
hc_base.subs_code_2064008,"2064008","L-Xylulokinase","L-Xylulokinase (substance)"
hc_base.subs_code_2082006,"2082006","Lymphocyte antigen CD51","Lymphocyte antigen CD51 (substance)"
hc_base.subs_code_2088005,"2088005","Page blue G-90","Page blue G-90 (substance)"
hc_base.subs_code_2096000,"2096000","NAD^+^ ADP-ribosyltransferase","NAD^+^ ADP-ribosyltransferase (substance)"
hc_base.subs_code_2100004,"2100004","Sulfonethylmethane","Sulfonethylmethane (substance)"
