id,"code","name","definition","comments","is_active","source_id/id","system"
hc_base.addl_instr_311501008,"311501008","Half to one hour before food","Half to one hour before food (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_311504000,"311504000","With or after food","With or after food (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_417929005,"417929005","Times","Times (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_417980006,"417980006","Contains aspirin","Contains aspirin (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_417995008,"417995008","Dissolve or mix with water before taking","Dissolve or mix with water before taking (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418071006,"418071006","Warning. Causes drowsiness which may continue the next day. If affected do not drive or operate machinery. Avoid alcoholic drink","Warning. Causes drowsiness which may continue the next day. If affected do not drive or operate machinery. Avoid alcoholic drink (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418194009,"418194009","Contains an aspirin-like medicine","Contains an aspirin-like medicine (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418281004,"418281004","Do not take anything containing aspirin while taking this medicine","Do not take anything containing aspirin while taking this medicine (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418443006,"418443006","Do not take more than . . . in 24 hours or . . . in any one week","Do not take more than . . . in 24 hours or . . . in any one week (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418521000,"418521000","Avoid exposure of skin to direct sunlight or sun lamps","Avoid exposure of skin to direct sunlight or sun lamps (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418577003,"418577003","Take at regular intervals. Complete the prescribed course unless otherwise directed","Take at regular intervals. Complete the prescribed course unless otherwise directed (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418637003,"418637003","Do not take with any other paracetamol products","Do not take with any other paracetamol products (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418639000,"418639000","Warning. May cause drowsiness","Warning. May cause drowsiness (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418693002,"418693002","Swallowed whole, not chewed","Swallowed whole, not chewed (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418849000,"418849000","Warning. Follow the printed instructions you have been given with this medicine","Warning. Follow the printed instructions you have been given with this medicine (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418850000,"418850000","Contains aspirin and paracetamol. Do not take with any other paracetamol products","Contains aspirin and paracetamol. Do not take with any other paracetamol products (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418914006,"418914006","Warning. May cause drowsiness. If affected do not drive or operate machinery. Avoid alcoholic drink","Warning. May cause drowsiness. If affected do not drive or operate machinery. Avoid alcoholic drink (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418954008,"418954008","Warning. May cause drowsiness. If affected do not drive or operate machinery","Warning. May cause drowsiness. If affected do not drive or operate machinery (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_418991002,"418991002","Sucked or chewed","Sucked or chewed (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419111009,"419111009","Allow to dissolve under the tongue. Do not transfer from this container. Keep tightly closed. Discard eight weeks after opening","Allow to dissolve under the tongue. Do not transfer from this container. Keep tightly closed. Discard eight weeks after opening (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419115000,"419115000","Do not take milk, indigestion remedies, or medicines containing iron or zinc at the same time of day as this medicine","Do not take milk, indigestion remedies, or medicines containing iron or zinc at the same time of day as this medicine (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419303009,"419303009","With plenty of water","With plenty of water (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419437002,"419437002","Do not take more than 2 at any one time. Do not take more than 8 in 24 hours","Do not take more than 2 at any one time. Do not take more than 8 in 24 hours (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419439004,"419439004","Caution flammable: keep away from fire or flames","Caution flammable: keep away from fire or flames (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419444006,"419444006","Do not stop taking this medicine except on your doctor's advice","Do not stop taking this medicine except on your doctor's advice (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419473009,"419473009","Each","Each (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419529008,"419529008","Dissolved under the tongue","Dissolved under the tongue (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
hc_base.addl_instr_419822006,"419822006","Warning. Avoid alcoholic drink","Warning. Avoid alcoholic drink (qualifier value)","","","base.snomed","http://hl7.org/fhir/ValueSet/additional-instruction-codes"
