id,"code","name","definition","contains_id/id","level","comments","is_active","source_id/id","system"
hc_base.enc_rsn_122003,"122003","Choroidal hemorrhage","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_127009,"127009","Spontaneous abortion with laceration of cervix","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_129007,"129007","Homoiothermia","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_134006,"134006","Decreased hair growth","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_140004,"140004","Chronic pharyngitis","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_144008,"144008","Normal peripheral vision","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_147001,"147001","Superficial foreign body of scrotum without major open wound but with infection","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_150003,"150003","Abnormal bladder continence","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_151004,"151004","Gonococcal meningitis","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_162004,"162004","Severe manic bipolar I disorder without psychotic features","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_165002,"165002","Accident-prone","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_168000,"168000","Typhlolithiasis","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_171008,"171008","Injury of ascending right colon without open wound into abdominal cavity","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_172001,"172001","Endometritis following molar AND/OR ectopic pregnancy","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_175004,"175004","Supraorbital neuralgia","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_177007,"177007","Poisoning by sawfly larvae","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_179005,"179005","Apraxia of dressing","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_181007,"181007","Hemorrhagic bronchopneumonia","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_183005,"183005","Autoimmune pancytopenia","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_184004,"184004","Withdrawal arrhythmia","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_188001,"188001","Injury of intercostal artery","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_192008,"192008","Congenital syphilitic hepatomegaly","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_193003,"193003","Benign hypertensive renal disease","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_195005,"195005","Illegal abortion with endometritis","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_198007,"198007","Disease due to Filoviridae","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_199004,"199004","Decreased lactation","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_208008,"208008","Neurocutaneous melanosis sequence","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_216004,"216004","Delusion of persecution","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
hc_base.enc_rsn_219006,"219006","Alcohol user","",,,,,"base.snomed","http://hl7.org/fhir/ValueSet/encounter-reason"
