"id","contains_ids/id","level","comments","is_active","source_id/id","system"
hc_base.subs_code_125001_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_126000_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_131003_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_159002_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_164003_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_178002_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_186002_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_187006_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_200001_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_217008_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_238002_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_261000_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_296000_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_322006_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_327000_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_329002_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_377002_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_392001_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_395004_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_412004_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_432003_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_472007_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_476005_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_501001_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_505005_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_515004_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_519005_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_521000_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_529003_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_566009_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_576007_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_584006_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_585007_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_593007_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_597008_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_604000_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_620005_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_648005_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
hc_base.subs_code_662003_hc_vs_substance_code,,,,,"base.snomed","http://hl7.org/fhir/ValueSet/substance-code"
