id,"code","name","definition","source_id/id","system"
hc_cond.code_160245001,"160245001","No current problems or disability","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_109006,"109006","Anxiety disorder of childhood OR adolescence","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_122003,"122003","Choroidal hemorrhage","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_127009,"127009","Miscarriage with laceration of cervix","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_129007,"129007","Homoiothermia","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_134006,"134006","Decreased hair growth (finding)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_140004,"140004","Chronic pharyngitis","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_144008,"144008","Normal peripheral vision","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_147001,"147001","Superficial foreign body of scrotum without major open wound but with infection","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_150003,"150003","Abnormal bladder continence","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_151004,"151004","Gonococcal meningitis","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_162004,"162004","Severe manic bipolar I disorder without psychotic features","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_165002,"165002","Accident prone","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_168000,"168000","Typhlolithiasis","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_171008,"171008","Injury of ascending right colon without open wound into abdominal cavity","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_172001,"172001","Endometritis following molar AND/OR ectopic pregnancy","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_175004,"175004","Supraorbital neuralgia","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_177007,"177007","Poisoning by sawfly larvae","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_179005,"179005","Apraxia of dressing","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_181007,"181007","Hemorrhagic bronchopneumonia","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_183005,"183005","Autoimmune pancytopenia","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_184004,"184004","Withdrawal arrhythmia","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_188001,"188001","Injury of intercostal artery","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_192008,"192008","Congenital syphilitic hepatomegaly","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_193003,"193003","Benign hypertensive renal disease","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_195005,"195005","Illegal abortion with endometritis (disorder)","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_198007,"198007","Disease due to Filoviridae","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_199004,"199004","Decreased lactation","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_208008,"208008","Neurocutaneous melanosis sequence","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_216004,"216004","Delusion of persecution","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_219006,"219006","Current drinker","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_222008,"222008","Acute epiglottitis with obstruction","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_223003,"223003","Tumor of body of uterus affecting pregnancy","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_228007,"228007","Lucio phenomenon","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_241006,"241006","Epilepsia partialis continua","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_242004,"242004","Noninfectious jejunitis","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_253005,"253005","Sycosis","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_257006,"257006","Acne rosacea, erythematous telangiectatic type","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_258001,"258001","Pseudoknuckle pad","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_264008,"264008","Blind hypertensive eye","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
hc_cond.code_276008,"276008","Poisoning by oxytocin","","base.snomed","http://hl7.org/fhir/ValueSet/condition-code"
