id,"code","name","definition","comments","is_active","source_id/id","system"
hc_endpoint.end_pay_type_1,"urn:ihe:pcc:handp:2008","History and Physical Specification","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_2,"unknown","HL7 CCD Document","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_3,"urn:ihe:pcc:aps:2007","IHE Antepartum Summary","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_4,"urn:ihe:pcc:xds-ms:2007","XDS Medical Summaries","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_5,"urn:ihe:pcc:xphr:2007","Personal Health Records","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_6,"urn:ihe:pcc:edr:2007","Emergency Department Referral (EDR)","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_7,"urn:ihe:pcc:edes:2007","Emergency Department Encounter Summary (EDES)","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_8,"urn:ihe:pcc:apr:handp:2008","Antepartum Record (APR) - History and Physical","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_9,"urn:ihe:pcc:apr:lab:2008","Antepartum Record (APR) - Laboratory","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_10,"urn:ihe:pcc:apr:edu:2008","Antepartum Record (APR) - Education","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_11,"urn:ihe:pcc:irc:2008","Immunization Registry Content (IRC)","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_12,"urn:ihe:pcc:crc:2008","Cancer Registry Content (CRC)","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_13,"urn:ihe:pcc:cm:2008","Care Management (CM)","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_14,"urn:ihe:pcc:ic:2009","Immunization Content (IC)","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_15,"urn:ihe:pcc:tn:2007","PCC TN","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_16,"urn:ihe:pcc:nn:2007","PCC NN","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_17,"urn:ihe:pcc:ctn:2007","PCC CTN","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_18,"urn:ihe:pcc:edpn:2007","PCC EDPN","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_19,"urn:ihe:pcc:hp:2008","PCC HP","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_20,"urn:ihe:pcc:ldhp:2009","PCC LDHP","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_21,"urn:ihe:pcc:lds:2009","PCC LDS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_22,"urn:ihe:pcc:mds:2009","PCC MDS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_23,"urn:ihe:pcc:nds:2010","PCC NDS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_24,"urn:ihe:pcc:ppvs:2010","PCC PPVS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_25,"urn:ihe:pcc:trs:2011","PCC TRS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_26,"urn:ihe:pcc:ets:2011","PCC ETS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_27,"urn:ihe:pcc:its:2011","PCC ITS","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_28,"urn:ihe:iti:bppc:2007","Basic Patient Privacy Consents","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_29,"urn:ihe:iti:bppc-sd:2007","Basic Patient Privacy Consents with Scanned Document","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_30,"urn:ihe:iti:xdw:2011:workflowDoc","XDW Workflow Document","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_31,"urn:ihe:iti:dsg:detached:2014","DSG Detached Document","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_32,"urn:ihe:iti:dsg:enveloping:2014","DSG Enveloping Document","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_33,"urn:ihe:iti:xds-sd:pdf:2008","PDF embedded in CDA per XDS-SD profile","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_34,"urn:ihe:iti:xds-sd:text:2008","Text embedded in CDA per XDS-SD profile","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_35,"urn:ihe:lab:xd-lab:2008","CDA Laboratory Report","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_36,"urn:ihe:rad:TEXT","Radiology XDS-I Text","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_37,"urn:ihe:rad:PDF","Radiology XDS-I PDF","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_38,"urn:ihe:rad:CDA:ImagingReportStructuredHeadings:2013","Radiology XDS-I Structured CDA","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_39,"urn:ihe:card:imaging:2011","Cardiac Imaging Report","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_40,"urn:ihe:card:CRC:2012","Cardiology CRC","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_41,"urn:ihe:card:EPRC-IE:2014","Cardiology EPRC-IE","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_42,"urn:ihe:dent:TEXT","Dental Text","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_43,"urn:ihe:dent:PDF","Dental PDF","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_44,"urn:ihe:dent:CDA:ImagingReportStructuredHeadings:2013","Dental CDA","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_45,"urn:ihe:pat:apsr:all:2010","Anatomic Pathology Structured Report All","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
hc_endpoint.end_pay_type_46,"urn:ihe:pat:apsr:cancer:all:2010","Anatomic Pathology Structured Report Cancer All","","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/endpoint-payload-type"
