id,"code","name","definition","comments","is_active","source_id/id","system"
hc_healthcare_service.serv_cat_1,"1","Adoption","Adoption","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_2,"2","Aged Care","Aged Care","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_34,"34","Allied Health","Allied Health","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_3,"3","Alternative/Complementary Therapies","Alternative & Complementary Therapies","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_4,"4","Child Care /Kindergarten","Child Care and/or Kindergarten","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_5,"5","Child Development","Child Development","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_6,"6","Child Protection & Family Services","Child Protection & Family Services","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_7,"7","Community Health Care","Community Health Care","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_8,"8","Counselling","Counselling","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_36,"36","Crisis Line (GPAH use only)","Crisis Line (GPAH use only)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_9,"9","Death Services","Death Services","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_10,"10","Dental","Dental","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_11,"11","Disability Support","Disability Support","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_12,"12","Drug/Alcohol","Drug/Alcohol","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_13,"13","Education & Learning","Education & Learning","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_14,"14","Emergency Department","Emergency Department","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_15,"15","Employment","Employment","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_16,"16","Financial & Material Aid","Financial & Material aid","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_17,"17","General Practice","General Practice/GP (doctor)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_35,"35","Hospital","Hospital","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_18,"18","Housing/Homelessness","Housing/Homelessness","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_19,"19","Interpreting","Interpreting","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_20,"20","Justice","Justice","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_21,"21","Legal","Legal","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_22,"22","Mental Health","Mental Health","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_38,"38","NDIA","NDIA","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_23,"23","Physical Activity & Recreation","Physical Activity & Recreation","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_24,"24","Regulation","Regulation","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_25,"25","Respite/Carer Support","Respite/Carer Support","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_26,"26","Specialist Clinical Pathology","Specialist Clinical Pathology - requires referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_27,"27","Specialist Medical","Specialist Medical - requires referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_28,"28","Specialist Obstetrics & Gynaecology","Specialist Obstetrics & Gynaecology - requires referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_29,"29","Specialist Paediatric","Specialist Paediatric - requires referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_30,"30","Specialist Radiology/Imaging","Specialist Radiology/Imaging - requires referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_31,"31","Specialist Surgical","Specialist Surgical - requires referral","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_32,"32","Support Group/s","Support group/s","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_37,"37","Test Message (HSD admin)","Test Message (HSD admin use only)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
hc_healthcare_service.serv_cat_33,"33","Transport","Transport","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/service-category"
