id,"code","name","definition","comments","is_active","source_id/id","system"
hc_location.serv_del_role_type_dx,"DX","Diagnostics or therapeutics unit","A practice setting where diagnostic procedures or therapeutic interventions are performed","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_cvdx,"CVDX","Cardiovascular diagnostics or therapeutics unit","A practice setting where cardiovascular diagnostic procedures or therapeutic interventions are performed (e.g., cardiac catheterization lab, echocardiography suite)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_cath,"CATH","Cardiac catheterization lab","Cardiac catheterization lab","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_echo,"ECHO","Echocardiography lab","Echocardiography lab","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_gidx,"GIDX","Gastroenterology diagnostics or therapeutics lab","A practice setting where GI procedures (such as endoscopies) are performed","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_endos,"ENDOS","Endoscopy lab","(X12N 261QD0000N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_raddx,"RADDX","Radiology diagnostics or therapeutics unit","A practice setting where radiology services (diagnostic or therapeutic) are provided (X12N 261QR0200N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rado,"RADO","Radiation oncology unit","(X12N 261QX0203N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rneu,"RNEU","Neuroradiology unit","Neuroradiology unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hosp,"HOSP","Hospital","An acute care institution that provides medical, surgical, or psychiatric care and treatment for the sick or the injured.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_chr,"CHR","Chronic Care Facility","(1) A hospital including a physical plant and personnel that provides multidisciplinary diagnosis and treatment for diseases that have one or more of the following characteristics: is permanent; leaves residual disability; is caused by nonreversible pathological alteration; requires special training of the patient for rehabilitation; and/or may be expected to require a long period of supervision or care. In addition, patients require the safety, security, and shelter of these specialized inpatient or partial hospitalization settings. (2) A hospital that provides medical and skilled nursing services to patients with long-term illnesses who are not in an acute phase but who require an intensity of services not available in nursing homes","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_gach,"GACH","Hospitals; General Acute Care Hospital","(X12N 282N00000N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_mhsp,"MHSP","Military Hospital","A health care facility operated by the Department of Defense or other military operation.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_psychf,"PSYCHF","Psychatric Care Facility","Healthcare facility that cares for patients with psychiatric illness(s).","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rh,"RH","Rehabilitation hospital","(X12N 283X00000N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhat,"RHAT","addiction treatment center","Description: A location that plays the role of delivering services which may include life training and/or social support to people with addictions.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhii,"RHII","intellectual impairment center","Description: A location that plays the role of delivering services which may include adaptation, rehabilitation and social integration services for people with intellectual and/or pervasive development disorders such as autism or severe behaviour disorder.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhmad,"RHMAD","parents with adjustment difficulties center","Description: A location that plays the role of delivering services which may social support services for adolescents who are pregnant or have child and are experiencing adaptation issues/difficulties in their current or eventual parenting role.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
