id,"code","name","definition","source_id/id","system"
hc_med.formgrp_buccal_product,"buccal_product","Buccal Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_chewable_product,"chewable_product","Chewable Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_dental_product,"dental_product","Dental Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_disintegrating_oral_product,"disintegrating_oral_product","Disintegrating Oral Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_drug_implant_product,"drug_implant_product","Drug Implant Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_flake_product,"flake_product","Flake Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_granule_product,"granule_product","Granule Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_inhalant_product,"inhalant_product","Inhalant Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_injectable_product,"injectable_product","Injectable Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_intraperitoneal_product,"intraperitoneal_product","Intraperitoneal Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_intratracheal_product,"intratracheal_product","Intratracheal Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
hc_med.formgrp_irrigation_product,"irrigation_product","Irrigation Product","","base.nlm_rxnorm","https://www.nlm.nih.gov/research/umls/rxnorm/docs/2017/appendix3.html"
